date,score
May-26-2018,55.3073344311818
June-30-2018,55.3073344311818
July-28-2018,55.955608484067824
September-01-2018,55.958294477012025
October-06-2018,55.95555986281438
November-10-2018,55.955608484067824
December-08-2018,55.96322653607159
January-12-2019,55.95925595454846
February-16-2019,55.91106580023164
March-23-2019,55.920499216478824
April-20-2019,55.920499216478824
May-25-2019,55.91826374799624
June-29-2019,55.918273184462755
August-03-2019,55.918273184462755
August-31-2019,55.91826374799624
October-05-2019,55.91826374799624
November-09-2019,55.91826374799624
December-14-2019,56.38617536896873
January-11-2020,56.32411380963474
February-15-2020,56.40673867560883
March-28-2020,56.39754829645782
April-25-2020,56.01533545147394
May-16-2020,56.03769621562973
June-28-2020,56.15221538286869
July-31-2020,57.079171291952356
September-02-2020,57.058087850469775
October-05-2020,57.07448325191425
October-07-2020,57.064839960922534
February-20-2021,57.092909006697504
March-26-2021,57.142230488231625
April-11-2021,57.09575223397877
May-22-2021,57.11604577571391
June-26-2021,57.102554305470164
August-07-2021,57.10025300844194
September-04-2021,57.04997670141094
October-29-2021,57.01702671407368
November-12-2021,57.09423629331904
December-03-2021,57.118840985851335
January-14-2022,57.71756741346287
February-18-2022,57.75748437048159
March-18-2022,57.74151678961903
April-22-2022,57.708094782707484
May-27-2022,57.768316039032754
July-01-2022,57.79745521443309
July-29-2022,57.770843628609725
September-02-2022,57.7942728353512
September-30-2022,57.83646053126357
November-11-2022,57.812540023530566
December-11-2022,57.86296928559717
December-30-2022,57.85259446452115
February-16-2023,57.86659095633405
March-24-2023,57.879144537893865
April-21-2023,57.848025403416216
May-27-2023,57.84021942578498
June-30-2023,57.87088793919529
July-28-2023,57.90191001983461
September-01-2023,58.67647567101013
October-06-2023,58.82145008683537
