date,score
May-26-2018,47.79154410843506
June-30-2018,47.792879544442826
July-28-2018,50.230744011751796
September-01-2018,50.23292224242463
October-06-2018,50.230967130232344
November-10-2018,50.23090516232299
December-08-2018,50.16862274346643
January-12-2019,50.18119295911624
February-16-2019,49.99869833626153
March-23-2019,49.99975452029044
April-20-2019,49.99975452029044
May-25-2019,49.96438388816308
June-29-2019,49.94889074224426
August-03-2019,49.960226644121775
August-31-2019,49.946281756974415
October-05-2019,50.22230168102889
November-09-2019,50.10656455682964
December-14-2019,50.088880295630325
January-11-2020,50.17319224021166
February-15-2020,50.33790919995453
March-28-2020,50.33385926560646
April-25-2020,50.268127008089266
May-16-2020,50.240751560439115
June-28-2020,50.18474333839992
July-31-2020,50.24619251899113
September-02-2020,50.31032476247361
October-05-2020,50.44092548725251
October-07-2020,50.426961199262756
February-20-2021,50.2545175806827
March-26-2021,50.382948828876884
April-11-2021,50.424646012666884
May-22-2021,50.38946596472419
June-26-2021,57.7736560071893
August-07-2021,57.83504150818375
September-04-2021,57.87146370360592
October-29-2021,57.8105425870979
November-12-2021,57.61555639087925
December-03-2021,57.57684818427828
January-14-2022,58.27983229856359
February-18-2022,58.29614531790206
March-18-2022,58.34685992371278
April-22-2022,58.35867126280026
May-27-2022,58.13249155951321
July-01-2022,58.15885098357283
July-29-2022,58.222213992131145
September-02-2022,58.14183067493893
September-30-2022,58.12922288908716
November-11-2022,58.12940366610074
December-11-2022,58.7338176888203
December-30-2022,58.74777318632688
February-16-2023,58.761014364268085
March-24-2023,58.72481026612001
April-21-2023,58.84479659412152
May-27-2023,59.10159663523336
June-30-2023,58.75891343385151
July-28-2023,58.713686995547235
September-01-2023,58.78549167507651
October-06-2023,58.708148292024134
