date,score
May-26-2018,40.90392103682447
June-30-2018,40.90392103682447
July-28-2018,43.75926418967588
September-01-2018,43.7642665076216
October-06-2018,43.77222059100843
November-10-2018,43.75926418967588
December-08-2018,43.6960455774209
January-12-2019,43.72341947224171
February-16-2019,43.62308732884221
March-23-2019,43.65692964840575
April-20-2019,43.65692964840575
May-25-2019,43.66733767360102
June-29-2019,43.658495862331485
August-03-2019,43.658495862331485
August-31-2019,43.66733767360102
October-05-2019,43.66733767360102
November-09-2019,43.66733767360102
December-14-2019,46.78822338641517
January-11-2020,46.319595676979354
February-15-2020,46.787847161048276
March-28-2020,46.74935709457131
April-25-2020,44.641226246913824
May-16-2020,44.72815037009756
June-28-2020,45.02513825897032
July-31-2020,46.881356268263474
September-02-2020,46.90997784074836
October-05-2020,46.90589387612225
October-07-2020,46.910133244346724
February-20-2021,46.852964264656364
March-26-2021,47.15055148283385
April-11-2021,47.07916424563735
May-22-2021,47.105022753143324
June-26-2021,47.087941501297266
August-07-2021,47.022793459673885
September-04-2021,47.01605324021304
October-29-2021,47.1733774776724
November-12-2021,47.20007153515868
December-03-2021,47.108708338851585
January-14-2022,53.18290831108291
February-18-2022,53.1974684803588
March-18-2022,53.224053808354924
April-22-2022,53.27674732751833
May-27-2022,53.2961694886485
July-01-2022,53.271824346868065
July-29-2022,53.19341401170784
September-02-2022,53.259772604902395
September-30-2022,53.29437628896125
November-11-2022,53.30470382609016
December-11-2022,52.08565371746106
December-30-2022,52.07861535811259
February-16-2023,52.10765792668977
March-24-2023,52.079761360840166
April-21-2023,52.08709868292881
May-27-2023,52.03787418332008
June-30-2023,52.0906416690061
July-28-2023,52.027899050991266
September-01-2023,52.96358145269485
October-06-2023,53.348550545069365
